,Name,Property_Type,Bedrooms,Baths,Balcony,City,Location,Total_Area,Price_per_SQFT,Price,Property Title,Area_type,Segment_type
0,Casagrand ECR 14,Flat,4 BHK,4,Yes,Chennai,"Kanathur Reddikuppam, Chennai",2583,7700,19900000,"4 BHK Flat for sale in Kanathur Reddikuppam, Chennai",Mid-Large sized Property,Mid Segment
1,DAC Prapthi,Flat,3 BHK,3,No,Chennai,"Kasthuribai Nagar, West Tambaram,Chennai",1320,7580,10000000,"3 BHK Flat for sale in West Tambaram, Chennai",Mid sized Property,Mid Segment
2,DRA 90 Degrees,Flat,3 BHK,3,No,Chennai,"Rose Avenue, Pallikaranai,Chennai",1444,9000,13000000,"3 BHK Flat for sale in Pallikaranai, Chennai",Mid sized Property,Mid Segment
3,Ramcons Dominion,Flat,3 BHK,3,Yes,Chennai,"Tirumurthy Nagar, Nungambakkam,Chennai",1658,15680,26000000,"3 BHK Flat for sale in Nungambakkam, Chennai",Mid sized Property,Mid Segment
4,VGN Coasta,Flat,4 BHK,5,Yes,Chennai,"Muttukadu, Chennai",4200,7070,29700000,"4 BHK Flat for sale in Muttukadu, Chennai",Large Property,Mid Segment
5,CasaGrand Vistaaz,Villa,3 BHK,3,No,Chennai,"Kolapakkam - Vandalur, Chennai",1566,6900,10800000,"3 BHK Villa for sale in Kolapakkam - Vandalur, Chennai",Mid sized Property,Mid Segment
6,Vasantham,Flat,3 BHK,3,Yes,Chennai,"Maruthi Nagar, Sembakkam,Chennai",1712,6720,11500000,"3 BHK Flat for sale in Sembakkam, Chennai",Mid sized Property,Mid Segment
7,Golden Jubilee Flats,Flat,3 BHK,3,Yes,Chennai,"Thirumangalam, Anna Nagar West,Chennai",1100,9090,10000000,"3 BHK Flat for sale in Anna Nagar West, Chennai",Mid sized Property,Mid Segment
8,Prestige Bella Vista,Flat,3 BHK,3,Yes,Chennai,"Iyyappanthangal, Chennai",1791,7260,13000000,"3 BHK Flat for sale in Iyyappanthangal, Chennai",Mid sized Property,Mid Segment
9,Ozone Metrozone,Flat,4 BHK,4,Yes,Chennai,"Thirumangalam, Anna Nagar West,Chennai",2661,11270,30000000,"4 BHK Flat for sale in Anna Nagar West, Chennai",Mid-Large sized Property,Mid Segment
10,GR Natarajan Sundaravedam,Flat,3 BHK,3,No,Chennai,"Parthasarathy Puram, T Nagar,Chennai",1495,18390,27500000,"3 BHK Flat for sale in T Nagar, Chennai",Mid sized Property,Mid Segment
11,BSR Nerkundram,Independent House,4 BHK,3,No,Chennai,"Tirumalai Nagar, Koyambedu,Chennai",1400,8210,11500000,"4 BHK Independent House for sale in Koyambedu, Chennai",Mid sized Property,Mid Segment
12,Adityaram Nagar Phase 5,Villa,4 BHK,5,Yes,Chennai,"Adityaram Nagar, Panaiyur,Chennai",3500,7430,26000000,"4 BHK Villa for sale in Panaiyur, Chennai",Mid-Large sized Property,Mid Segment
